Name,Source,Description,Gem
Enchantment Despair Effect 2,Eternal Labyrinth,30% increased Despair Curse Effect,Despair
Enchantment Determination Mana Reservation 1,Merciless Labyrinth,Determination has 10% reduced Mana Reservation,Determination
Enchantment Determination Mana Reservation 2,Eternal Labyrinth,Determination has 15% reduced Mana Reservation,Determination
Enchantment Detonate Dead Area Of Effect 1,Merciless Labyrinth,16% increased Detonate Dead Area of Effect,Detonate Dead
Enchantment Detonate Dead Area Of Effect 2,Eternal Labyrinth,24% increased Detonate Dead Area of Effect,Detonate Dead
Enchantment Detonate Dead Damage 1,Merciless Labyrinth,25% increased Detonate Dead Damage,Detonate Dead
Enchantment Detonate Dead Damage 2,Eternal Labyrinth,40% increased Detonate Dead Damage,Detonate Dead
Enchantment Detonate Dead Percent Chance To Detonate Additional Corpse 1,Merciless Labyrinth,Detonate Dead has a 30% chance to detonate an additional corpse,Detonate Dead
Enchantment Detonate Dead Percent Chance To Detonate Additional Corpse 2,Eternal Labyrinth,Detonate Dead has a 45% chance to detonate an additional corpse,Detonate Dead
Enchantment Devouring Totem Leech Per Second 1,Merciless Labyrinth,24% increased Devouring Totem Leech per second,Devouring Totem
Enchantment Devouring Totem Leech Per Second 2,Eternal Labyrinth,36% increased Devouring Totem Leech per second,Devouring Totem
Enchantment Devouring Totem Percent Chance To Consume Additional Corpse 1,Merciless Labyrinth,Devouring Totem has 40% Chance to Consume an additional corpse,Devouring Totem
Enchantment Devouring Totem Percent Chance To Consume Additional Corpse 2,Eternal Labyrinth,Devouring Totem has 60% Chance to Consume an additional corpse,Devouring Totem
Enchantment Discharge Area of Effect 1,Merciless Labyrinth,16% increased Discharge Radius,Discharge
Enchantment Discharge Area of Effect 2,Eternal Labyrinth,24% increased Discharge Radius,Discharge
Enchantment Discharge Consume Charges 1,Merciless Labyrinth,20% chance for Discharge to deal Damage without removing Charges,Discharge
Enchantment Discharge Consume Charges 2,Eternal Labyrinth,30% chance for Discharge to deal Damage without removing Charges,Discharge
Enchantment Discharge Damage 1,Merciless Labyrinth,25% increased Discharge Damage,Discharge
Enchantment Discharge Damage 2,Eternal Labyrinth,40% increased Discharge Damage,Discharge
Enchantment Discipline Mana Reservation 1,Merciless Labyrinth,Discipline has 14% reduced Mana Reservation,Discipline
Enchantment Discipline Mana Reservation 2,Eternal Labyrinth,Discipline has 20% reduced Mana Reservation,Discipline
Enchantment Divine Ire Beam Width 1,Merciless Labyrinth,Divine Ire's beam has 10% increased width,Divine Ire
Enchantment Divine Ire Beam Width 2,Eternal Labyrinth,Divine Ire's beam has 15% increased width,Divine Ire
Enchantment Divine Ire Damage 1,Merciless Labyrinth,Divine Ire deals 25% increased Damage,Divine Ire
Enchantment Divine Ire Damage 2,Eternal Labyrinth,Divine Ire deals 40% increased Damage,Divine Ire
Enchantment Divine Ire Number Of Additional Nearby Enemies To Zap 1,Merciless Labyrinth,Divine Ire Damages an additional nearby Enemy when gaining Stages,Divine Ire
Enchantment Divine Ire Number Of Additional Nearby Enemies To Zap 2,Eternal Labyrinth,Divine Ire Damages 2 additional nearby Enemies when gaining Stages,Divine Ire
Enchantment Dominating Blow Additional Magic 1,Merciless Labyrinth,Dominating Blow can summon 2 additional Magic Sentinels of Dominance,Dominating Blow
Enchantment Dominating Blow Additional Magic 2,Eternal Labyrinth,Dominating Blow can summon 3 additional Magic Sentinels of Dominance,Dominating Blow
Enchantment Dominating Blow Additional Rare 1,Eternal Labyrinth,Dominating Blow can summon an additional Rare Sentinel of Dominance,Dominating Blow
Enchantment Dominating Blow Duration 1,Merciless Labyrinth,20% increased Sentinel of Dominance Duration,Dominating Blow
Enchantment Dominating Blow Duration 2,Eternal Labyrinth,30% increased Sentinel of Dominance Duration,Dominating Blow
Enchantment Double Strike Attack Speed 1,Merciless Labyrinth,10% increased Double Strike Attack Speed,Double Strike
Enchantment Double Strike Attack Speed 2,Eternal Labyrinth,15% increased Double Strike Attack Speed,Double Strike
Enchantment Double Strike Critical Strike Chance 1,Merciless Labyrinth,60% increased Double Strike Critical Strike Chance,Double Strike
Enchantment Double Strike Critical Strike Chance 2,Eternal Labyrinth,90% increased Double Strike Critical Strike Chance,Double Strike
Enchantment Double Strike Damage 1,Merciless Labyrinth,25% increased Double Strike Damage,Double Strike
Enchantment Double Strike Damage 2,Eternal Labyrinth,40% increased Double Strike Damage,Double Strike
Enchantment Double Strike Double Damage Vs Bleeding 1,Merciless Labyrinth,Double Strike has a 10% chance to deal Double Damage to Bleeding Enemies,Double Strike
Enchantment Double Strike Double Damage Vs Bleeding 2,Eternal Labyrinth,Double Strike has a 15% chance to deal Double Damage to Bleeding Enemies,Double Strike
Enchantment Dread Banner Effect 1,Merciless Labyrinth,Dread Banner has 25% increased Aura Effect,Dread Banner
Enchantment Dread Banner Effect 2,Eternal Labyrinth,Dread Banner has 40% increased Aura Effect,Dread Banner
Enchantment Dual Strike Attack Speed 1,Merciless Labyrinth,10% increased Dual Strike Attack Speed,Dual Strike
Enchantment Dual Strike Attack Speed 2,Eternal Labyrinth,15% increased Dual Strike Attack Speed,Dual Strike
Enchantment Dual Strike Critical Strike Chance 1,Merciless Labyrinth,60% increased Dual Strike Critical Strike Chance,Dual Strike
Enchantment Dual Strike Critical Strike Chance 2,Eternal Labyrinth,90% increased Dual Strike Critical Strike Chance,Dual Strike
Enchantment Dual Strike Damage 1,Merciless Labyrinth,25% increased Dual Strike Damage,Dual Strike
Enchantment Dual Strike Damage 2,Eternal Labyrinth,40% increased Dual Strike Damage,Dual Strike
Enchantment Earthquake Area Of Effect 1,Merciless Labyrinth,16% increased Earthquake Area of Effect,Earthquake
Enchantment Earthquake Area Of Effect 2,Eternal Labyrinth,24% increased Earthquake Area of Effect,Earthquake
Enchantment Earthquake Damage 1,Merciless Labyrinth,25% increased Earthquake Damage,Earthquake
Enchantment Earthquake Damage 2,Eternal Labyrinth,40% increased Earthquake Damage,Earthquake
Enchantment Earthquake Duration 1,Merciless Labyrinth,20% reduced Earthquake Duration,Earthquake
Enchantment Earthquake Duration 2,Eternal Labyrinth,30% reduced Earthquake Duration,Earthquake
Enchantment Elemental Hit Attack Speed 1,Merciless Labyrinth,10% increased Elemental Hit Attack Speed,Elemental Hit
Enchantment Elemental Hit Attack Speed 2,Eternal Labyrinth,15% increased Elemental Hit Attack Speed,Elemental Hit
Enchantment Elemental Hit Chance To Freeze Shock Ignite 1,Merciless Labyrinth,"Elemental Hit has +20% chance to Freeze, Shock and Ignite",Elemental Hit
Enchantment Elemental Hit Chance To Freeze Shock Ignite 2,Eternal Labyrinth,"Elemental Hit has +30% chance to Freeze, Shock and Ignite",Elemental Hit
Enchantment Elemental Hit Damage 1,Merciless Labyrinth,Elemental Hit deals 25% increased Damage,Elemental Hit
Enchantment Elemental Hit Damage 2,Eternal Labyrinth,Elemental Hit deals 40% increased Damage,Elemental Hit
Enchantment Elemental Weakness Curse Effect 1,Merciless Labyrinth,20% increased Elemental Weakness Curse Effect,Elemental Weakness
Enchantment Elemental Weakness Curse Effect 2,Eternal Labyrinth,30% increased Elemental Weakness Curse Effect,Elemental Weakness
Enchantment Elemental Weakness Duration 1,Merciless Labyrinth,30% increased Elemental Weakness Duration,Elemental Weakness
Enchantment Elemental Weakness Duration 2,Eternal Labyrinth,45% increased Elemental Weakness Duration,Elemental Weakness
Enchantment Enduring Cry Cooldown Speed 1,Merciless Labyrinth,20% increased Enduring Cry Cooldown Recovery Speed,Enduring Cry
Enchantment Enduring Cry Cooldown Speed 2,Eternal Labyrinth,30% increased Enduring Cry Cooldown Recovery Speed,Enduring Cry
Enchantment Enduring Cry Life Regeneration 1,Merciless Labyrinth,24% increased Enduring Cry Buff Effect,Enduring Cry
Enchantment Enduring Cry Life Regeneration 2,Eternal Labyrinth,36% increased Enduring Cry Buff Effect,Enduring Cry
Enchantment Enfeeble Curse Effect 1,Merciless Labyrinth,20% increased Enfeeble Curse Effect,Enfeeble
Enchantment Enfeeble Curse Effect 2,Eternal Labyrinth,30% increased Enfeeble Curse Effect,Enfeeble
Enchantment Enfeeble Duration 1,Merciless Labyrinth,30% increased Enfeeble Duration,Enfeeble
Enchantment Enfeeble Duration 2,Eternal Labyrinth,45% increased Enfeeble Duration,Enfeeble
Enchantment Ensnaring Arrow Area Of Effect 1,Merciless Labyrinth,Ensnaring Arrow has 60% increased Area of Effect,Ensnaring Arrow
Enchantment Ensnaring Arrow Area Of Effect 2,Eternal Labyrinth,Ensnaring Arrow has 90% increased Area of Effect,Ensnaring Arrow
Enchantment Ensnaring Arrow Debuff Effect 1,Merciless Labyrinth,Ensnaring Arrow has 20% increased Debuff Effect,Ensnaring Arrow
Enchantment Ensnaring Arrow Debuff Effect 2,Eternal Labyrinth,Ensnaring Arrow has 30% increased Debuff Effect,Ensnaring Arrow
Enchantment Essence Drain Damage 1,Merciless Labyrinth,25% increased Essence Drain Damage,Essence Drain
Enchantment Essence Drain Damage 2,Eternal Labyrinth,40% increased Essence Drain Damage,Essence Drain
Enchantment Essence Drain Duration 1,Merciless Labyrinth,20% increased Essence Drain Duration,Essence Drain
Enchantment Essence Drain Duration 2,Eternal Labyrinth,30% increased Essence Drain Duration,Essence Drain
Enchantment Ethereal Knives Damage 1,Merciless Labyrinth,25% increased Ethereal Knives Damage,Ethereal Knives
Enchantment Ethereal Knives Damage 2,Eternal Labyrinth,40% increased Ethereal Knives Damage,Ethereal Knives
Enchantment Ethereal Knives Number Of Targets To Pierce 1,Eternal Labyrinth,Ethereal Knives Pierces an additional Target,Ethereal Knives
Enchantment Ethereal Knives Projectile Speed 1,Merciless Labyrinth,20% increased Ethereal Knives Projectile Speed,Ethereal Knives
Enchantment Ethereal Knives Projectile Speed 2,Eternal Labyrinth,30% increased Ethereal Knives Projectile Speed,Ethereal Knives
Enchantment Explosive Arrow Area Of Effect 1,Merciless Labyrinth,Explosive Arrow has 16% increased Area of Effect,Explosive Arrow
Enchantment Explosive Arrow Area Of Effect 2,Eternal Labyrinth,Explosive Arrow has 24% increased Area of Effect,Explosive Arrow
Enchantment Explosive Arrow Attack Speed 1,Merciless Labyrinth,Explosive Arrow has 10% increased Attack Speed,Explosive Arrow
Enchantment Explosive Arrow Attack Speed 2,Eternal Labyrinth,Explosive Arrow has 15% increased Attack Speed,Explosive Arrow
Enchantment Explosive Arrow Damage 1,Merciless Labyrinth,Explosive Arrow deals 25% increased Damage,Explosive Arrow
Enchantment Explosive Arrow Damage 2,Eternal Labyrinth,Explosive Arrow deals 40% increased Damage,Explosive Arrow
Enchantment Explosive Arrow Increased Duration 1,Merciless Labyrinth,Explosive Arrow has 25% increased Duration,Explosive Arrow
Enchantment Explosive Arrow Increased Duration 2,Eternal Labyrinth,Explosive Arrow has 40% increased Duration,Explosive Arrow
Enchantment Explosive Arrow Reduced Duration 1,Merciless Labyrinth,Explosive Arrow has 20% reduced Duration,Explosive Arrow
Enchantment Explosive Arrow Reduced Duration 2,Eternal Labyrinth,Explosive Arrow has 30% reduced Duration,Explosive Arrow
Enchantment Shrapnel Trap Damage 1,Merciless Labyrinth,Explosive Trap deals 25% increased Damage,Explosive Trap
Enchantment Shrapnel Trap Damage 2,Eternal Labyrinth,Explosive Trap deals 40% increased Damage,Explosive Trap
Enchantment Shrapnel Trap Radius 1,Merciless Labyrinth,Explosive Trap has 16% increased Area of Effect,Explosive Trap
Enchantment Shrapnel Trap Radius 2,Eternal Labyrinth,Explosive Trap has 24% increased Area of Effect,Explosive Trap
Enchantment Shrapnel Trap Secondary Explosions 1,Merciless Labyrinth,Explosive Trap causes an additional smaller explosion,Explosive Trap
Enchantment Shrapnel Trap Secondary Explosions 2,Eternal Labyrinth,Explosive Trap causes 2 additional smaller explosions,Explosive Trap
Enchantment Fire Trap Burning Damage 1,Merciless Labyrinth,40% increased Fire Trap Burning Damage,Fire Trap
Enchantment Fire Trap Burning Damage 2,Eternal Labyrinth,60% increased Fire Trap Burning Damage,Fire Trap
Enchantment Fire Trap Burning Ground Duration 1,Merciless Labyrinth,30% increased Fire Trap Burning Ground Duration,Fire Trap
Enchantment Fire Trap Burning Ground Duration 2,Eternal Labyrinth,45% increased Fire Trap Burning Ground Duration,Fire Trap
Enchantment Fire Trap Damage 1,Merciless Labyrinth,25% increased Fire Trap Damage,Fire Trap
Enchantment Fire Trap Damage 2,Eternal Labyrinth,40% increased Fire Trap Damage,Fire Trap
Enchantment Fireball Cast Speed 1,Merciless Labyrinth,8% increased Fireball Cast Speed,Fireball
Enchantment Fireball Cast Speed 2,Eternal Labyrinth,12% increased Fireball Cast Speed,Fireball
Enchantment Fireball Damage 1,Merciless Labyrinth,25% increased Fireball Damage,Fireball
Enchantment Fireball Damage 2,Eternal Labyrinth,40% increased Fireball Damage,Fireball
Enchantment Fireball Ignite Chance 1,Merciless Labyrinth,Fireball has +20% chance to Ignite,Fireball
Enchantment Fireball Ignite Chance 2,Eternal Labyrinth,Fireball has +30% chance to Ignite,Fireball
Enchantment Firestorm Damage 1,Merciless Labyrinth,25% increased Firestorm Damage,Firestorm
Enchantment Firestorm Damage 2,Eternal Labyrinth,40% increased Firestorm Damage,Firestorm
Enchantment Firestorm Duration 1,Merciless Labyrinth,20% increased Firestorm Duration,Firestorm
Enchantment Firestorm Duration 2,Eternal Labyrinth,30% increased Firestorm Duration,Firestorm
Enchantment Firestorm Explosion Area Of Effect 1,Merciless Labyrinth,16% increased Firestorm explosion Area of Effect,Firestorm
Enchantment Firestorm Explosion Area Of Effect 2,Eternal Labyrinth,24% increased Firestorm explosion Area of Effect,Firestorm
Enchantment Flame Dash Cooldown Speed 1,Merciless Labyrinth,20% increased Flame Dash Cooldown Recovery Speed,Flame Dash
Enchantment Flame Dash Cooldown Speed 2,Eternal Labyrinth,30% increased Flame Dash Cooldown Recovery Speed,Flame Dash
Enchantment Flame Dash Damage 1,Merciless Labyrinth,25% increased Flame Dash Damage,Flame Dash
Enchantment Flame Dash Damage 2,Eternal Labyrinth,40% increased Flame Dash Damage,Flame Dash
Enchantment Flame Surge Critical Strike Chance 1,Merciless Labyrinth,60% increased Flame Surge Critical Strike Chance,Flame Surge
Enchantment Flame Surge Critical Strike Chance 2,Eternal Labyrinth,90% increased Flame Surge Critical Strike Chance,Flame Surge
Enchantment Flame Surge Damage 1,Merciless Labyrinth,25% increased Flame Surge Damage,Flame Surge
Enchantment Flame Surge Damage 2,Eternal Labyrinth,40% increased Flame Surge Damage,Flame Surge
Enchantment Flame Surge Vs Burning Enemies 1,Merciless Labyrinth,40% increased Flame Surge Damage against Burning Enemies,Flame Surge
Enchantment Flame Surge Vs Burning Enemies 2,Eternal Labyrinth,60% increased Flame Surge Damage against Burning Enemies,Flame Surge
Enchantment Flameblast Area Of Effect 1,Merciless Labyrinth,16% increased Flameblast Area of Effect,Flameblast
Enchantment Flameblast Area Of Effect 2,Eternal Labyrinth,24% increased Flameblast Area of Effect,Flameblast
Enchantment Flameblast Critical Strike Chance 1,Merciless Labyrinth,60% increased Flameblast Critical Strike Chance,Flameblast
Enchantment Flameblast Critical Strike Chance 2,Eternal Labyrinth,90% increased Flameblast Critical Strike Chance,Flameblast
Enchantment Flameblast Damage 1,Merciless Labyrinth,25% increased Flameblast Damage,Flameblast
Enchantment Flameblast Damage 2,Eternal Labyrinth,40% increased Flameblast Damage,Flameblast
Enchantment Flamethrower Additional Flamethrowers 1,Merciless Labyrinth,Flamethrower Trap has an additional Flame,Flamethrower Trap
Enchantment Flamethrower Additional Flamethrowers 2,Eternal Labyrinth,Flamethrower Trap has 2 additional Flames,Flamethrower Trap
Enchantment Flamethrower Trap Cast Speed 1,Merciless Labyrinth,Flamethrower Trap has 8% increased Cast Speed,Flamethrower Trap
Enchantment Flamethrower Trap Cast Speed 2,Eternal Labyrinth,Flamethrower Trap has 12% increased Cast Speed,Flamethrower Trap
Enchantment Flamethrower Trap Cooldown Speed 1,Merciless Labyrinth,Flamethrower Trap has 10% increased Cooldown Recovery Speed,Flamethrower Trap
Enchantment Flamethrower Trap Cooldown Speed 2,Eternal Labyrinth,Flamethrower Trap has 15% increased Cooldown Recovery Speed,Flamethrower Trap
Enchantment Flamethrower Trap Damage 1,Merciless Labyrinth,Flamethrower Trap deals 25% increased Damage,Flamethrower Trap
Enchantment Flamethrower Trap Damage 2,Eternal Labyrinth,Flamethrower Trap deals 40% increased Damage,Flamethrower Trap
Enchantment Flamethrower Trap Duration 1,Merciless Labyrinth,Flamethrower Trap has 20% increased Skill Effect Duration,Flamethrower Trap
Enchantment Flamethrower Trap Duration 2,Eternal Labyrinth,Flamethrower Trap has 30% increased Skill Effect Duration,Flamethrower Trap
Enchantment Flammability Curse Effect 1,Merciless Labyrinth,20% increased Flammability Curse Effect,Flammability
Enchantment Flammability Curse Effect 2,Eternal Labyrinth,30% increased Flammability Curse Effect,Flammability
Enchantment Flammability Duration 1,Merciless Labyrinth,30% increased Flammability Duration,Flammability
Enchantment Flammability Duration 2,Eternal Labyrinth,45% increased Flammability Duration,Flammability
Enchantment Flesh and Stone Mana Reservation 1,Merciless Labyrinth,Flesh and Stone has 20% reduced Mana Reservation,Flesh and Stone
Enchantment Flesh and Stone Mana Reservation 2,Eternal Labyrinth,Flesh and Stone has 30% reduced Mana Reservation,Flesh and Stone
Enchantment Flesh Offering Attack Speed 1,Merciless Labyrinth,Flesh Offering grants an additional 14% increased Attack Speed,Flesh Offering
Enchantment Flesh Offering Attack Speed 2,Eternal Labyrinth,Flesh Offering grants an additional 21% increased Attack Speed,Flesh Offering
Enchantment Flesh Offering Duration 1,Merciless Labyrinth,30% increased Flesh Offering Duration,Flesh Offering
Enchantment Flesh Offering Duration 2,Eternal Labyrinth,45% increased Flesh Offering Duration,Flesh Offering
Enchantment Flicker Strike Cooldown Speed 1,Merciless Labyrinth,20% increased Flicker Strike Cooldown Recovery Speed,Flicker Strike
Enchantment Flicker Strike Cooldown Speed 2,Eternal Labyrinth,30% increased Flicker Strike Cooldown Recovery Speed,Flicker Strike
Enchantment Flicker Strike Damage 1,Merciless Labyrinth,25% increased Flicker Strike Damage,Flicker Strike
Enchantment Flicker Strike Damage 2,Eternal Labyrinth,40% increased Flicker Strike Damage,Flicker Strike
Enchantment Flicker Strike Damage Per Frenzy Charge 1,Merciless Labyrinth,6% increased Flicker Strike Damage per Frenzy Charge,Flicker Strike
Enchantment Flicker Strike Damage Per Frenzy Charge 2,Eternal Labyrinth,9% increased Flicker Strike Damage per Frenzy Charge,Flicker Strike
Enchantment Freezing Pulse Cast Speed 1,Merciless Labyrinth,8% increased Freezing Pulse Cast Speed,Freezing Pulse
Enchantment Freezing Pulse Cast Speed 2,Eternal Labyrinth,12% increased Freezing Pulse Cast Speed,Freezing Pulse
Enchantment Freezing Pulse Damage 1,Merciless Labyrinth,25% increased Freezing Pulse Damage,Freezing Pulse
Enchantment Freezing Pulse Damage 2,Eternal Labyrinth,40% increased Freezing Pulse Damage,Freezing Pulse
Enchantment Freezing Pulse Projectile Speed 1,Merciless Labyrinth,20% increased Freezing Pulse Projectile Speed,Freezing Pulse
Enchantment Freezing Pulse Projectile Speed 2,Eternal Labyrinth,30% increased Freezing Pulse Projectile Speed,Freezing Pulse
Enchantment Frenzy Damage 1,Merciless Labyrinth,25% increased Frenzy Damage,Frenzy
Enchantment Frenzy Damage 2,Eternal Labyrinth,40% increased Frenzy Damage,Frenzy
Enchantment Frenzy Damage Per Frenzy Charge 1,Merciless Labyrinth,6% increased Frenzy Damage per Frenzy Charge,Frenzy
Enchantment Frenzy Damage Per Frenzy Charge 2,Eternal Labyrinth,9% increased Frenzy Damage per Frenzy Charge,Frenzy
Enchantment Frenzy Percent Chance To Gain Additional Frenzy Charge 1,Merciless Labyrinth,20% Chance on Frenzy to gain an additional Frenzy Charge,Frenzy
Enchantment Frenzy Percent Chance To Gain Additional Frenzy Charge 2,Eternal Labyrinth,30% Chance on Frenzy to gain an additional Frenzy Charge,Frenzy
Enchantment Frost Blades Damage 1,Merciless Labyrinth,25% increased Frost Blades Damage,Frost Blades
Enchantment Frost Blades Damage 2,Eternal Labyrinth,40% increased Frost Blades Damage,Frost Blades
Enchantment Frost Blades Projectile Speed 1,Merciless Labyrinth,20% increased Frost Blades Projectile Speed,Frost Blades
Enchantment Frost Blades Projectile Speed 2,Eternal Labyrinth,30% increased Frost Blades Projectile Speed,Frost Blades
Enchantment Frost Bomb Area Of Effect 1,Merciless Labyrinth,16% increased Frost Bomb Area of Effect,Frost Bomb
Enchantment Frost Bomb Area Of Effect 2,Eternal Labyrinth,24% increased Frost Bomb Area of Effect,Frost Bomb
Enchantment Frost Bomb Cooldown Speed 1,Merciless Labyrinth,20% increased Frost Bomb Cooldown Recovery Speed,Frost Bomb
Enchantment Frost Bomb Cooldown Speed 2,Eternal Labyrinth,30% increased Frost Bomb Cooldown Recovery Speed,Frost Bomb
Enchantment Frost Bomb Damage 1,Merciless Labyrinth,25% increased Frost Bomb Damage,Frost Bomb
Enchantment Frost Bomb Damage 2,Eternal Labyrinth,40% increased Frost Bomb Damage,Frost Bomb
Enchantment Frost Bomb Increased Duration 1,Merciless Labyrinth,Frost Bomb has 20% increased Debuff Duration,Frost Bomb
Enchantment Frost Bomb Increased Duration 2,Eternal Labyrinth,Frost Bomb has 30% increased Debuff Duration,Frost Bomb
Enchantment Frost Wall Cooldown Speed 1,Merciless Labyrinth,20% increased Frost Wall Cooldown Recovery Speed,Frost Wall
Enchantment Frost Wall Cooldown Speed 2,Eternal Labyrinth,30% increased Frost Wall Cooldown Recovery Speed,Frost Wall
Enchantment Frost Wall Duration 1,Merciless Labyrinth,24% increased Frost Wall Duration,Frost Wall
Enchantment Frost Wall Duration 2,Eternal Labyrinth,36% increased Frost Wall Duration,Frost Wall
Enchantment Frostbite Curse Effect 1,Merciless Labyrinth,20% increased Frostbite Curse Effect,Frostbite
Enchantment Frostbite Curse Effect 2,Eternal Labyrinth,30% increased Frostbite Curse Effect,Frostbite
Enchantment Frostbite Duration 1,Merciless Labyrinth,30% increased Frostbite Duration,Frostbite
Enchantment Frostbite Duration 2,Eternal Labyrinth,45% increased Frostbite Duration,Frostbite
Enchantment Frostblink Cooldown Speed 1,Merciless Labyrinth,Frostblink has 20% increased Cooldown Recovery Speed,Frostblink
Enchantment Frostblink Cooldown Speed 2,Eternal Labyrinth,Frostblink has 30% increased Cooldown Recovery Speed,Frostblink
Enchantment Frostblink Travel Distance 1,Merciless Labyrinth,Frostblink has 65% increased maximum travel distance,Frostblink
Enchantment Frostblink Travel Distance 2,Eternal Labyrinth,Frostblink has 100% increased maximum travel distance,Frostblink
Enchantment Frost Bolt Cast Speed 1,Merciless Labyrinth,10% increased Frostbolt Cast Speed,Frostbolt
Enchantment Frost Bolt Cast Speed 2,Eternal Labyrinth,15% increased Frostbolt Cast Speed,Frostbolt
Enchantment Frost Bolt Damage 1,Merciless Labyrinth,25% increased Frostbolt Damage,Frostbolt
Enchantment Frost Bolt Damage 2,Eternal Labyrinth,40% increased Frostbolt Damage,Frostbolt
Enchantment Frost Bolt Freeze Chance 1,Merciless Labyrinth,Frostbolt has +10% chance to Freeze,Frostbolt
Enchantment Frost Bolt Freeze Chance 2,Eternal Labyrinth,Frostbolt has +15% chance to Freeze,Frostbolt
Enchantment Galvanic Arrow Projectile Speed 1,Merciless Labyrinth,Galvanic Arrow has 20% increased Projectile Speed,Galvanic Arrow
Enchantment Galvanic Arrow Projectile Speed 2,Eternal Labyrinth,Galvanic Arrow has 30% increased Projectile Speed,Galvanic Arrow
Enchantment Glacial Cascade Area Of Effect 1,Merciless Labyrinth,16% increased Glacial Cascade Area of Effect,Glacial Cascade
Enchantment Glacial Cascade Area Of Effect 2,Eternal Labyrinth,24% increased Glacial Cascade Area of Effect,Glacial Cascade
Enchantment Glacial Cascade Damage 1,Merciless Labyrinth,25% increased Glacial Cascade Damage,Glacial Cascade
Enchantment Glacial Cascade Damage 2,Eternal Labyrinth,40% increased Glacial Cascade Damage,Glacial Cascade
Enchantment Glacial Cascade Physical Damage Percent To Convert To Cold 1,Merciless Labyrinth,30% of Glacial Cascade Physical Damage Converted to Cold Damage,Glacial Cascade
Enchantment Glacial Cascade Physical Damage Percent To Convert To Cold 2,Eternal Labyrinth,40% of Glacial Cascade Physical Damage Converted to Cold Damage,Glacial Cascade
Enchantment Glacial Hammer Damage 1,Merciless Labyrinth,25% increased Glacial Hammer Damage,Glacial Hammer
Enchantment Glacial Hammer Damage 2,Eternal Labyrinth,40% increased Glacial Hammer Damage,Glacial Hammer
Enchantment Glacial Hammer Freeze Chance 1,Merciless Labyrinth,Glacial Hammer has +20% chance to Freeze,Glacial Hammer
Enchantment Glacial Hammer Freeze Chance 2,Eternal Labyrinth,Glacial Hammer has +30% chance to Freeze,Glacial Hammer
Enchantment Glacial Hammer Physical Damage Percent To Add As Cold Damage 1,Merciless Labyrinth,10% of Glacial Hammer Physical Damage gained as Extra Cold Damage,Glacial Hammer
Enchantment Glacial Hammer Physical Damage Percent To Add As Cold Damage 2,Eternal Labyrinth,15% of Glacial Hammer Physical Damage gained as Extra Cold Damage,Glacial Hammer
Enchantment Grace Mana Reservation 1,Merciless Labyrinth,Grace has 10% reduced Mana Reservation,Grace
Enchantment Grace Mana Reservation 2,Eternal Labyrinth,Grace has 15% reduced Mana Reservation,Grace
Enchantment Ground Slam Angle 1,Merciless Labyrinth,Ground Slam has a 16% increased angle,Ground Slam
Enchantment Ground Slam Angle 2,Eternal Labyrinth,Ground Slam has a 24% increased angle,Ground Slam
Enchantment Ground Slam Area Of Effect 1,Merciless Labyrinth,16% increased Ground Slam Area of Effect,Ground Slam
Enchantment Ground Slam Area Of Effect 2,Eternal Labyrinth,24% increased Ground Slam Area of Effect,Ground Slam
Enchantment Ground Slam Damage 1,Merciless Labyrinth,25% increased Ground Slam Damage,Ground Slam
Enchantment Ground Slam Damage 2,Eternal Labyrinth,40% increased Ground Slam Damage,Ground Slam
Enchantment Haste Mana Reservation 1,Merciless Labyrinth,Haste has 10% reduced Mana Reservation,Haste
Enchantment Haste Mana Reservation 2,Eternal Labyrinth,Haste has 15% reduced Mana Reservation,Haste
Enchantment Hatred Mana Reservation 1,Merciless Labyrinth,Hatred has 10% reduced Mana Reservation,Hatred
Enchantment Hatred Mana Reservation 2,Eternal Labyrinth,Hatred has 15% reduced Mana Reservation,Hatred
Enchantment Heavy Strike Attack Speed 1,Merciless Labyrinth,10% increased Heavy Strike Attack Speed,Heavy Strike
Enchantment Heavy Strike Attack Speed 2,Eternal Labyrinth,15% increased Heavy Strike Attack Speed,Heavy Strike
Enchantment Heavy Strike Damage 1,Merciless Labyrinth,25% increased Heavy Strike Damage,Heavy Strike
Enchantment Heavy Strike Damage 2,Eternal Labyrinth,40% increased Heavy Strike Damage,Heavy Strike
Enchantment Heavy Strike Double Damage 1,Merciless Labyrinth,Heavy Strike has a 8% chance to deal Double Damage,Heavy Strike
Enchantment Heavy Strike Double Damage 2,Eternal Labyrinth,Heavy Strike has a 12% chance to deal Double Damage,Heavy Strike
Enchantment Herald Of Agony Mana Reservation 1,Merciless Labyrinth,Herald of Agony has 20% reduced Mana Reservation,Herald of Agony
Enchantment Herald Of Agony Mana Reservation 2,Eternal Labyrinth,Herald of Agony has 30% reduced Mana Reservation,Herald of Agony
Enchantment Herald Of Agony Num Of Secondary Projectiles 1,Eternal Labyrinth,Summoned Agony Crawler fires 2 additional Projectiles,Herald of Agony
Enchantment Herald Of Ash Damage 1,Merciless Labyrinth,25% increased Herald of Ash Damage,Herald of Ash
Enchantment Herald Of Ash Damage 2,Eternal Labyrinth,40% increased Herald of Ash Damage,Herald of Ash
Enchantment Herald Of Ash Mana Reservation 1,Merciless Labyrinth,Herald of Ash has 20% reduced Mana Reservation,Herald of Ash
